E (meV)	D1_Butanol_250K_0.098A-1	err	E (meV)	D1_Butanol_250K_0.196A-1	err	E (meV)	D1_Butanol_250K_0.294A-1	err	E (meV)	D1_Butanol_250K_0.399A-1	err	E (meV)	D1_Butanol_250K_0.497A-1	err	E (meV)	D1_Butanol_250K_0.595A-1	err	E (meV)	D1_Butanol_250K_0.693A-1	err	E (meV)	D1_Butanol_250K_0.798A-1	err	E (meV)	D1_Butanol_250K_0.896A-1	err	E (meV)	D1_Butanol_250K_0.994A-1	err	E (meV)	D1_Butanol_250K_1.099A-1	err	E (meV)	D1_Butanol_250K_1.197A-1	err	E (meV)	D1_Butanol_250K_1.295A-1	err	E (meV)	D1_Butanol_250K_1.4A-1	err	E (meV)	D1_Butanol_250K_1.498A-1	err	E (meV)	D1_Butanol_250K_1.596A-1	err	E (meV)	D1_Butanol_250K_1.694A-1	err
-4.695	0.0	0.0	-4.695	0.0	0.0	-4.695	0.0	0.0	-4.695	0.0	0.0	-4.695	0.0	0.0	-4.695	0.0007599	0.0016516	-4.695	0.000399483	0.00011378	-4.695	0.000448861	6.7322e-05	-4.695	0.000481508	4.3256e-05	-4.695	0.000553734	5.1536e-05	-4.695	0.000604372	5.7889e-05	-4.695	0.00063189	6.0764e-05	-4.695	0.000740445	6.5183e-05	-4.695	0.000852013	6.9622e-05	-4.695	0.000944051	7.2608e-05	-4.695	0.000934941	6.8092e-05	-4.695	0.000990258	7.1942e-05
-4.685	0.0	0.0	-4.685	0.0	0.0	-4.685	0.0	0.0	-4.685	0.0	0.0	-4.685	0.0	0.0	-4.685	0.000164201	0.0001962	-4.685	0.000370908	3.1894e-05	-4.685	0.000433013	3.2542e-05	-4.685	0.000479494	4.2557e-05	-4.685	0.000536824	5.0568e-05	-4.685	0.000586353	5.7781e-05	-4.685	0.000622786	6.0951e-05	-4.685	0.000736324	6.5112e-05	-4.685	0.00084554	6.9773e-05	-4.685	0.000937116	7.2779e-05	-4.685	0.000902154	6.6889e-05	-4.685	0.000951442	6.9361e-05
-4.675	0.0	0.0	-4.675	0.0	0.0	-4.675	0.0	0.0	-4.675	0.0	0.0	-4.675	0.0	0.0	-4.675	0.000111287	0.00025213	-4.675	0.000355208	4.1799e-05	-4.675	0.000440173	3.2341e-05	-4.675	0.00049038	4.3217e-05	-4.675	0.000541936	5.1177e-05	-4.675	0.0005903	5.8264e-05	-4.675	0.00062409	6.0971e-05	-4.675	0.00074566	6.5465e-05	-4.675	0.00086101	7.0285e-05	-4.675	0.00091092	7.169e-05	-4.675	0.000884553	6.6254e-05	-4.675	0.000956563	6.9452e-05
-4.665	0.0	0.0	-4.665	0.0	0.0	-4.665	0.0	0.0	-4.665	0.0	0.0	-4.665	0.0	0.0	-4.665	0.000147601	0.00016281	-4.665	0.000360887	3.4332e-05	-4.665	0.000435658	3.1664e-05	-4.665	0.000482525	4.2899e-05	-4.665	0.000522029	5.0545e-05	-4.665	0.000595878	5.882e-05	-4.665	0.00066887	6.2938e-05	-4.665	0.000785942	6.7071e-05	-4.665	0.000867826	7.0595e-05	-4.665	0.000884389	7.1319e-05	-4.665	0.000872418	6.6228e-05	-4.665	0.000969768	6.9477e-05
-4.655	0.0	0.0	-4.655	0.0	0.0	-4.655	0.0	0.0	-4.655	0.0	0.0	-4.655	0.0	0.0	-4.655	0.000119249	4.7972e-05	-4.655	0.00035247	2.8179e-05	-4.655	0.000435546	3.1642e-05	-4.655	0.000480195	4.2903e-05	-4.655	0.000517408	5.0664e-05	-4.655	0.00062395	6.0168e-05	-4.655	0.00070541	6.4301e-05	-4.655	0.000789627	6.7252e-05	-4.655	0.000834314	6.8971e-05	-4.655	0.000869938	7.2628e-05	-4.655	0.000884498	6.863e-05	-4.655	0.000980049	7.0372e-05
-4.645	0.0	0.0	-4.645	0.0	0.0	-4.645	0.0	0.0	-4.645	0.0	0.0	-4.645	0.0	0.0	-4.645	0.000129706	4.6266e-05	-4.645	0.000348239	2.8156e-05	-4.645	0.000416154	3.0928e-05	-4.645	0.000461799	4.2228e-05	-4.645	0.000522954	5.1031e-05	-4.645	0.00064115	6.098e-05	-4.645	0.000693266	6.3703e-05	-4.645	0.000754684	6.5771e-05	-4.645	0.000807234	6.7256e-05	-4.645	0.000893012	7.6157e-05	-4.645	0.000928873	7.3007e-05	-4.645	0.000975201	7.1618e-05
-4.635	0.0	0.0	-4.635	0.0	0.0	-4.635	0.0	0.0	-4.635	0.0	0.0	-4.635	0.0	0.0	-4.635	0.00015416	4.9297e-05	-4.635	0.000352016	2.8397e-05	-4.635	0.000408798	3.0664e-05	-4.635	0.000466453	4.2293e-05	-4.635	0.000537909	5.141e-05	-4.635	0.000646181	6.1409e-05	-4.635	0.00068265	6.3291e-05	-4.635	0.000735535	6.5627e-05	-4.635	0.000795262	6.7796e-05	-4.635	0.000891482	7.577e-05	-4.635	0.000938274	7.2763e-05	-4.635	0.000973228	7.1153e-05
-4.625	0.0	0.0	-4.625	0.0	0.0	-4.625	0.0	0.0	-4.625	0.0	0.0	-4.625	0.0	0.0	-4.625	0.000123985	5.1707e-05	-4.625	0.000336876	2.7642e-05	-4.625	0.000411041	3.1128e-05	-4.625	0.000474737	4.293e-05	-4.625	0.000543006	5.1644e-05	-4.625	0.000619782	6.0284e-05	-4.625	0.000646129	6.185e-05	-4.625	0.000698783	6.4139e-05	-4.625	0.000797038	6.7815e-05	-4.625	0.000911405	7.6247e-05	-4.625	0.00100119	7.4547e-05	-4.625	0.00101622	7.2492e-05
-4.615	0.0	0.0	-4.615	0.0	0.0	-4.615	0.0	0.0	-4.615	0.0	0.0	-4.615	0.0	0.0	-4.615	0.000188436	0.00014397	-4.615	0.000349877	3.6617e-05	-4.615	0.000418425	3.2096e-05	-4.615	0.000481365	4.351e-05	-4.615	0.000546741	5.1676e-05	-4.615	0.000611247	5.9725e-05	-4.615	0.000641366	6.1369e-05	-4.615	0.000703595	6.4087e-05	-4.615	0.000812459	6.9067e-05	-4.615	0.000919945	7.3397e-05	-4.615	0.00101296	7.1505e-05	-4.615	0.00103999	7.1777e-05
-4.605	0.0	0.0	-4.605	0.0	0.0	-4.605	0.0	0.0	-4.605	0.0	0.0	-4.605	0.0	0.0	-4.605	0.000223993	0.00012228	-4.605	0.000355839	3.4135e-05	-4.605	0.000432412	3.3374e-05	-4.605	0.00051155	4.5524e-05	-4.605	0.000563702	5.5196e-05	-4.605	0.000635302	6.3357e-05	-4.605	0.000684972	6.3223e-05	-4.605	0.000723108	6.4653e-05	-4.605	0.000816802	6.9104e-05	-4.605	0.000903424	7.1537e-05	-4.605	0.00100612	6.989e-05	-4.605	0.001102	7.3644e-05
-4.595	0.0	0.0	-4.595	0.0	0.0	-4.595	0.0	0.0	-4.595	0.0	0.0	-4.595	0.0	0.0	-4.595	0.000228985	0.00010351	-4.595	0.000354853	3.2248e-05	-4.595	0.000446808	3.4492e-05	-4.595	0.000526647	4.6448e-05	-4.595	0.00057249	5.9743e-05	-4.595	0.00064336	6.7761e-05	-4.595	0.000688725	6.3499e-05	-4.595	0.00073825	6.472e-05	-4.595	0.000837935	6.9252e-05	-4.595	0.000916508	7.1902e-05	-4.595	0.000975908	6.8943e-05	-4.595	0.00107443	7.2911e-05
