E (meV)	but_OD_250K_0.29A-1	err	E (meV)	but_OD_250K_0.44A-1	err	E (meV)	but_OD_250K_0.59A-1	err	E (meV)	but_OD_250K_0.71A-1	err	E (meV)	but_OD_250K_0.84A-1	err	E (meV)	but_OD_250K_0.95A-1	err	E (meV)	but_OD_250K_1.07A-1	err	E (meV)	but_OD_250K_1.18A-1	err	E (meV)	but_OD_250K_1.29A-1	err	E (meV)	but_OD_250K_1.39A-1	err	E (meV)	but_OD_250K_1.48A-1	err	E (meV)	but_OD_250K_1.57A-1	err	E (meV)	but_OD_250K_1.65A-1	err	E (meV)	but_OD_250K_1.72A-1	err	E (meV)	but_OD_250K_1.79A-1	err	E (meV)	but_OD_250K_1.84A-1	err	E (meV)	but_OD_250K_1.89A-1	err	E (meV)	but_OD_250K_1.93A-1	err
-0.124619	0.3812234	0.1543925	-0.124619	0.4778247	0.1719418	-0.124619	1.432457	0.4353263	-0.124619	1.653759	0.314637	-0.124619	1.500221	0.2694804	-0.124619	1.732351	0.2703569	-0.124619	1.458718	0.2375736	-0.124619	1.952358	0.2691095	-0.124619	1.649555	0.2522145	-0.124619	1.796067	0.2844552	-0.124619	1.792059	0.2722473	-0.124619	1.845575	0.2615533	-0.124619	1.520503	0.2513509	-0.124619	1.395637	0.2262559	-0.124619	1.301387	0.2293772	-0.124619	1.498973	0.2994453	-0.124619	2.047746	0.5630857	-0.124619	2.656006	1.423692
-0.124019	0.5147232	0.1866227	-0.124019	0.8317482	0.2218767	-0.124019	1.467696	0.4420805	-0.124019	1.184249	0.2659956	-0.124019	1.316832	0.2523537	-0.124019	1.971816	0.2887486	-0.124019	1.876054	0.2693822	-0.124019	1.756032	0.2551731	-0.124019	1.700597	0.256095	-0.124019	1.687584	0.2803126	-0.124019	1.744456	0.2685863	-0.124019	1.510721	0.2347278	-0.124019	1.773474	0.271228	-0.124019	1.980283	0.2691944	-0.124019	1.222281	0.2219653	-0.124019	1.252645	0.2730314	-0.124019	1.614287	0.4925594	-0.124019	0.6050028	0.673006
-0.123419	0.5630634	0.1848546	-0.123419	0.8043082	0.2421135	-0.123419	2.162973	0.530266	-0.123419	1.363774	0.2864952	-0.123419	1.382108	0.2582806	-0.123419	1.818385	0.2777089	-0.123419	1.875129	0.2693983	-0.123419	1.770685	0.2548244	-0.123419	1.640332	0.2520378	-0.123419	1.800409	0.2823128	-0.123419	1.770994	0.2705717	-0.123419	1.659607	0.2456593	-0.123419	1.635291	0.2601487	-0.123419	1.724601	0.2507602	-0.123419	1.154112	0.2169009	-0.123419	1.432297	0.2907083	-0.123419	1.61551	0.5008087	-0.123419	0.5337943	0.6315988
-0.122819	0.379754	0.1558577	-0.122819	0.8502782	0.2216924	-0.122819	1.561278	0.4504862	-0.122819	1.503715	0.301519	-0.122819	1.642075	0.2814382	-0.122819	1.3888	0.2443032	-0.122819	1.783906	0.26319	-0.122819	2.180494	0.2828166	-0.122819	1.816217	0.264256	-0.122819	1.769186	0.2799205	-0.122819	1.818113	0.2737358	-0.122819	2.061997	0.2739523	-0.122819	1.839881	0.2765873	-0.122819	1.663599	0.2462891	-0.122819	1.620231	0.2563234	-0.122819	1.701641	0.3172369	-0.122819	0.9789278	0.396637	-0.122819	0.7333948	0.7341464
-0.122219	0.5045013	0.2023953	-0.122219	1.138257	0.2431313	-0.122219	0.8433694	0.3308258	-0.122219	1.768486	0.3249426	-0.122219	1.796292	0.2940438	-0.122219	1.394214	0.243703	-0.122219	1.884111	0.2737526	-0.122219	1.743812	0.2555896	-0.122219	1.700031	0.2556163	-0.122219	1.557416	0.2653654	-0.122219	1.798098	0.2719872	-0.122219	1.848902	0.2589314	-0.122219	1.703521	0.2657977	-0.122219	1.573294	0.2393853	-0.122219	1.652034	0.2618811	-0.122219	1.419709	0.2892885	-0.122219	1.665504	0.4993956	-0.122219	0.2463737	0.4324437
-0.121619	0.4916224	0.1887198	-0.121619	1.040239	0.2327668	-0.121619	1.308397	0.4118787	-0.121619	1.537039	0.3024404	-0.121619	2.127023	0.31975	-0.121619	1.654354	0.2691357	-0.121619	2.205902	0.293049	-0.121619	2.014381	0.2735446	-0.121619	1.488378	0.2386722	-0.121619	1.79831	0.2861588	-0.121619	1.555021	0.2530446	-0.121619	1.832938	0.2575228	-0.121619	1.488177	0.2486436	-0.121619	1.895283	0.2623429	-0.121619	1.609392	0.2565859	-0.121619	1.535651	0.3006409	-0.121619	1.786327	0.5165399	-0.121619	0.9389124	0.8435772
-0.121019	0.3837993	0.1783987	-0.121019	0.9704754	0.2422905	-0.121019	0.754327	0.3147958	-0.121019	1.268039	0.2739239	-0.121019	1.266692	0.2466757	-0.121019	2.168138	0.3015295	-0.121019	1.894087	0.2695643	-0.121019	1.850582	0.2597506	-0.121019	1.989121	0.2811013	-0.121019	1.497233	0.2615316	-0.121019	1.414961	0.2408053	-0.121019	2.075644	0.2761866	-0.121019	1.28633	0.2369383	-0.121019	1.720788	0.2504243	-0.121019	1.632711	0.2555719	-0.121019	1.548418	0.3015243	-0.121019	1.183017	0.4193252	-0.121019	0.4960524	0.6099483
-0.120419	0.3767452	0.1556686	-0.120419	0.809589	0.2098609	-0.120419	0.8950987	0.3474245	-0.120419	1.249914	0.2732302	-0.120419	1.321931	0.253115	-0.120419	1.765257	0.2711056	-0.120419	1.752173	0.2591751	-0.120419	1.654008	0.2458745	-0.120419	1.897266	0.2693833	-0.120419	1.43015	0.2576468	-0.120419	1.940455	0.2816622	-0.120419	1.862567	0.2645019	-0.120419	1.542891	0.2527241	-0.120419	1.471038	0.230723	-0.120419	1.327044	0.233735	-0.120419	1.217438	0.2670464	-0.120419	1.509447	0.473411	-0.120419	1.94509	1.198219
-0.119819	0.3104843	0.1374813	-0.119819	0.7727206	0.2029779	-0.119819	1.208048	0.3945285	-0.119819	1.899	0.3461648	-0.119819	1.504669	0.2700468	-0.119819	1.582911	0.2568373	-0.119819	1.735273	0.2586169	-0.119819	1.696611	0.2484857	-0.119819	1.46573	0.237793	-0.119819	2.179614	0.3093719	-0.119819	1.996904	0.285829	-0.119819	1.93673	0.2699956	-0.119819	1.488913	0.2466864	-0.119819	1.770188	0.2530748	-0.119819	1.664276	0.2671052	-0.119819	1.282304	0.2739127	-0.119819	1.672499	0.4983466	-0.119819	2.295231	1.304845
-0.119219	0.2468572	0.1336745	-0.119219	0.7748665	0.2135638	-0.119219	0.9145659	0.3433527	-0.119219	1.823546	0.3306453	-0.119219	1.585509	0.2779656	-0.119219	1.39617	0.24101	-0.119219	1.838127	0.2649008	-0.119219	1.628398	0.243013	-0.119219	1.606053	0.2482021	-0.119219	1.915287	0.2897504	-0.119219	1.870852	0.2779696	-0.119219	1.585955	0.240163	-0.119219	1.696098	0.2633441	-0.119219	1.591406	0.2396828	-0.119219	1.310137	0.2307096	-0.119219	1.540186	0.3000712	-0.119219	2.125263	0.5622123	-0.119219	1.218118	0.9500992
